player_name,player_id,total_four
"S Badrinath",23,39
"SK Raina",21,39
"MS Dhoni",20,39
"ML Hayden",18,39
"DPMD Jayawardene",64,39
"RP Singh",61,39
"RG Sharma",57,39
"A Symonds",56,39
"Harbhajan Singh",50,39
"RA Jadeja",35,39
"BB McCullum",2,39
"SB Jakati",186,39
"P Amarnath",435,38
"M Muralitharan",121,38
"MS Gony",120,38
"Joginder Sharma",119,38
"S Sreesanth",77,38
"WA Mota",68,38
"PP Chawla",67,38
"B Lee",66,38
"IK Pathan",29,38
"SM Katich",28,38
"Yuvraj Singh",27,38
"KC Sangakkara",26,38
"JR Hopes",25,38
"K Goel",24,38
"S Badrinath",23,38
"JDP Oram",22,38
"SK Raina",21,38
"MS Dhoni",20,38
"MEK Hussey",19,38
"ML Hayden",18,38
"A Nel",438,38
"B Geeves",436,38
"SD Chitnis",148,38
"DR Smith",147,38
"A Mishra",136,38
"TM Dilshan",135,38
"SR Tendulkar",133,38
"GD McGrath",118,38
"VY Mahesh",91,38
"MF Maharoof",90,38
"MK Tiwary",87,38
"DS Kulkarni",80,38
"A Nehra",73,38
"SM Pollock",49,38
"AM Nayar",48,38
"RV Uthappa",46,38
"ST Jayasuriya",44,38
"S Dhawan",42,38
"V Sehwag",41,38
"G Gambhir",40,38
"ML Hayden",18,38
"SK Raina",21,38
"S Badrinath",23,38
"V Sehwag",41,38
"R Bhatia",89,38
"JA Morkel",109,38
"AB de Villiers",110,38
"PJ Sangwan",116,38
"Joginder Sharma",119,38
"M Muralitharan",121,38
"TM Dilshan",135,38
"A Mishra",136,38
"L Balaji",151,38
"M Manhas",171,38
"M Vijay",185,38
"DA Warner",187,38
"R Ashwin",201,38
"JM Kemp",217,38
"DP Nannes",223,38
"UT Yadav",232,38
"DP Vijaykumar",143,38
"PP Ojha",131,38
"T Taibu",129,38
"A Chopra",128,38
"DB Ravi Teja",112,38
"AB Dinda",106,38
"Umar Gul",105,38
"Salman Butt",103,38
"HH Gibbs",97,38
"I Sharma",84,38
"M Kartik",83,38
"LR Shukla",63,38
"RP Singh",61,38
"WPUJC Vaas",60,38
"SB Bangar",59,38
"SB Styris",58,38
"RG Sharma",57,38
"Y Venugopal Rao",54,38
"AC Gilchrist",53,38
"DJ Hussey",4,38
"SC Ganguly",1,38
"RR Powar",153,38
"Younis Khan",141,38
"LA Pomersbach",139,38
"MM Patel",126,38
"SE Marsh",100,38
"VRV Singh",78,38
"S Sreesanth",77,38
"Pankaj Singh",75,38
"WA Mota",68,38
"PP Chawla",67,38
"SK Trivedi",39,38
