player_name,player_id,total_six
"KV Sharma",166,17
"CH Gayle",162,17
"AB de Villiers",110,17
"AB Dinda",106,17
"DW Steyn",94,17
"I Sharma",84,17
"S Dhawan",42,17
"IK Pathan",29,17
"Yuvraj Singh",27,17
"V Kohli",8,17
"Harbhajan Singh",50,17
"RG Sharma",57,17
"A Mishra",136,17
"JP Duminy",154,17
"AD Mathews",191,17
"SL Malinga",194,17
"AT Rayudu",208,17
"KA Pollard",221,17
"KM Jadhav",237,17
"UBT Chand",262,17
"S Nadeem",293,17
"NM Coulter-Nile",371,17
"JJ Bumrah",375,17
"LMP Simmons",383,17
"Imran Tahir",386,17
"SS Iyer",393,17
"HH Pandya",400,17
"MJ McClenaghan",403,17
"DJ Muthuswami",404,17
"V Kohli",8,17
"SR Watson",32,17
"Harbhajan Singh",50,17
"RG Sharma",57,17
"AB de Villiers",110,17
"CH Gayle",162,17
"AT Rayudu",208,17
"KA Pollard",221,17
"STR Binny",255,17
"S Aravind",270,17
"VR Aaron",296,17
"Sachin Baby",369,17
"JJ Bumrah",375,17
"TG Southee",377,17
"YS Chahal",382,17
"MJ McClenaghan",403,17
"KH Pandya",413,17
"N Rana",431,17
"CJ Jordan",434,17
"P Kumar",14,17
"SR Watson",32,17
"S Dhawan",42,17
"DS Kulkarni",80,17
"I Sharma",84,17
"AM Rahane",85,17
"RS Bopara",161,17
"MC Henriques",163,17
"KV Sharma",166,17
"DA Warner",187,17
"EJG Morgan",216,17
"STR Binny",255,17
"B Kumar",299,17
"SPD Smith",306,17
"JP Faulkner",310,17
"KK Nair",339,17
"GH Vihari",340,17
"CH Morris",350,17
"PV Tambe",370,17
"DJ Hooda",394,17
"BB McCullum",2,17
"V Kohli",8,17
